what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129537648
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129541211
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129542060
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1484129547467
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1484129561680
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129569484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129570437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129571887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129666890
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1484129670520
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1484129672926
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1484129674133
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1484129691730
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1484129695896
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1484129697124
error,log,,,"Unhandled event loop exception",1484129710000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129713324
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129714265
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129714329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129725500
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129731027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1484129747012
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1484129749861
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1484129778801
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1484129820594
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1484129821479
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1484129824985
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1484129827291
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1484129834625
